titles,authors,years,ncitedby,linkfiles
FaceMovie: a novel approach to post the Mining Classification Data,"VR Adari, C Diwakar, PS Varma",2011,NA,https://www.researchgate.net/profile/Rita-Orji/publication/235912851_EntourageViz_A_Visualization_Tool_for_Facebook_Friends%27_Social_Network/links/0912f514119e6e2016000000/EntourageViz-A-Visualization-Tool-for-Facebook-Friends-Social-Network.pdf
EntourageViz: A Visualization Tool for Facebook Friends' Social Network,"R Orji, Y Xue",NA,NA,https://ceur-ws.org/Vol-1056/salad2013-7.pdf
Provenance for Data Mining.,"B Glavic, J Siddique, P Andritsos, RJ Miller",2013,24,https://www.usenix.org/system/files/conference/tapp13/tapp13-final14.pdf
Decision Support Systems and Social Network Analysis,"LVN Titel, CPSWSPT DozentIn",NA,7,https://www.wi.tu-darmstadt.de/media/rw/relaunch_daten/studium_downloads/winf_m__sc__1/modulhandbuecher_und_modulkataloge_5/winf_b__sc___modulhandbuecher_1/WINF_PO_2011_BSc_MSc_Modulhandbuch_Stand_2012.pdf#page=42
"Social media and self-medication for weight loss, insights from Facebook in Brazil","J Carneiro, D Tsunoda, R Giacomiti",2017,375,https://www.researchgate.net/profile/Jaciara-Carneiro/publication/318703652_Social_Media_and_self-medication_for_weight_loss_insights_from_Facebook_in_Brazil/links/5980c1bdaca2728abee26193/Social-Media-and-self-medication-for-weight-loss-insights-from-Facebook-in-Brazil.pdf
Online Controlled Experiments and A/B Testing.,"R Kohavi, R Longbotham",2017,NA,https://www.researchgate.net/profile/Ron-Kohavi/publication/316116834_Online_Controlled_Experiments_and_AB_Testing/links/59b7583b458515c212b3cd46/Online-Controlled-Experiments-and-A-B-Testing.pdf
Data Mining and Its Effective Utilization in Marketing Communication,S Boyraz,2020,NA,https://is.vsfs.cz/th/o0trf/Data_Mining_and_Its_Effective_Utilization_in_Marketing_Communication__Latest_version_.pdf
Preventing Sensitive Information Leakage in Social Network Data,"U SAIRAM, PP KUMAR, AR KUMAR",2014,NA,http://ijsetr.com/uploads/546321IJSETR2325-894.pdf
"… . A revised perspective on evidence in interactive documentary as living documentary. A conversation with Sandra Gaudenzi on autopoiesis, VR, data-mining …","A Wiehl, S Gaudenzi",2016,NA,https://mediarep.org/bitstream/handle/doc/4394/AUGENBLICK_65-66_96-104_Wiehl_Gaudenzi_Shifts_of_Focus.pdf?sequence=1
Facebook Study Results,ML Korpijaakko,2015,NA,https://brill.com/downloadpdf/book/9789463002110/BP000006.pdf
Subgraph Identification and Transition Prediction,"JC Alumbaugh, M Al Hasan",NA,NA,http://et.engr.iupui.edu/~fengli/REU/2015/posters/poster-alumbaugh.pdf
DATA PRIVACY STANDARDS IN THE UNITED STATES: A CASE STUDY OF FACEBOOK,A TABUSCA,NA,NA,https://www.researchgate.net/profile/Oussama-Belakhdar/publication/363250858_DATA_PRIVACY_STANDARDS_IN_THE_UNITED_STATES_A_CASE_STUDY_OF_FACEBOOK_Presented_by_Oussama_BELAKHDAR/links/631337625eed5e4bd142a7d1/DATA-PRIVACY-STANDARDS-IN-THE-UNITED-STATES-A-CASE-STUDY-OF-FACEBOOK-Presented-by-Oussama-BELAKHDAR.pdf
Knowledge Sharing in the Online Social Network of Facebook! Answers and Its Implications,"SV Priya, M Vijayalakshmi, SS Rajan",NA,17,https://scholar.archive.org/work/2e72lyxchzglhhoqg64jum5ahi/access/wayback/http://ijrests.org/wp-content/uploads/2017/11/23-1.pdf
Edward Snowden's not the story. The fate of the Internet is,J Naughton,2013,127,https://share.nanjing-school.com/dpenglisha/files/2012/12/Edward-Snowdens-not-the-story.-The-fate-of-the-internet-is-Technology-The-Observer-1739cbh.pdf
"You for sale: Mapping, and sharing, the consumer genome",N Singer,2012,1,https://www.immagic.com/eLibrary/ARCHIVES/GENERAL/GENPRESS/N120616S.pdf
A review of student churn in the light of theories on business relationships,"J Ubi, I Liiv",2010,1,https://files.eric.ed.gov/fulltext/ED538834.pdf#page=341
IMPACT OF DATA WAREHOUSING AND DATA MINING IN BUSINESS,"PP Yende, PV Nimbalkar",NA,1,http://www.upa.org.in/adminserver/uploadedImage/reserch/1644488479.pdf
Detecting Malicious Facebook Application,"MP Khandelwal, MS Ekhande, MS Rajguru, MZ Benke…",NA,10,https://spvryan.org/archive/Issue1Volume4/03.pdf
Utilizing ego-centric social graphs to support social actorship: social recommendations for nomadic citizens,"J Rana, K Synnes",2012,18,https://www.diva-portal.org/smash/get/diva2:995052/FULLTEXT01.pdf
Extensive survey on K-means clustering using MapReduce in datamining,"RD Bhandari, DP Dabhi",2016,NA,https://www.researchgate.net/profile/Dipak-Dabhi/publication/301887585_Extensive_Survey_on_K-Means_Clustering_using_MapReduce_in_Datamining/links/572aec3108ae2efbfdbc27ef/Extensive-Survey-on-K-Means-Clustering-using-MapReduce-in-Datamining.pdf
"From robots to social robots. Trends, representation and Facebook engagement of robot-related news stories published by Italian online news media","N Righetti, M Carradore",2019,NA,https://iris.univr.it/retrieve/handle/11562/1049254/214930/Righetti_Carradore_2019_ISR_10_3_431-454.pdf
Facebook's grand plan for the future,D Gelles,2010,NA,http://www.fullertreacymoney.com/system/data/images/archive/2010-12-09/FT_FacebooksGrandPlanForTheFuture3Dec2010.pdf
Identifying Entrenched Users of Social Networking Sites: Empirical Study on Facebook,"IF Chen, WL Chang, WI Cheng",2019,13,http://msdm.ms.tku.edu.tw/File/Userfiles/0000000001/files/0%20(8).pdf
The Collateral Damage of Facebook Apps,"F Beato, I Symeonidis, B Preneel",NA,2,http://securewww.esat.kuleuven.be/cosic/publications/article-2469.pdf
Web Scrapping: How Companies Can Use'Big-Data'generated by Facebook?,"S Dey, J Li, S Cheng",2013,1,http://www.ii4journal.org/Admin/issue/Bussiness%20Inteligence.pdf
Bussiness Inteligence in Social Media using Predictive Data Mining technique EDA,"M Mutalikdesai, K Shinde",NA,NA,https://www.researchgate.net/profile/Mehzab-Nahid/publication/330042004_Facebook_Pages_vs_Websites_A_dilemma_for_E-Commerce_Industry_of_Bangladesh/links/60d484f9a6fdcc75a2503b63/Facebook-Pages-vs-Websites-A-dilemma-for-E-Commerce-Industry-of-Bangladesh.pdf
Facebook Pages vs Websites: A Dilemma for E-Commerce Industry of Bangladesh,"MH Nahid, R Ahmed",2018,NA,"https://boris.unibe.ch/132678/1/St%C3%B6ckli,%20H%C3%B6chli,%20Dorn,%20Messner,%202019.pdf"
Improving Personality-Mining Algorithms Used for Psychological Targeting with a Psychometric Scale for Susceptibility to Social Influence,"S Stöckli, BR Höchli, MH Dorn, CM Messner",2019,NA,https://www.researchgate.net/profile/Navdeep-Singh-5/publication/310663166_Cloud_Based_Data_Mining_Model_for_Asthma_Diagnosis/links/5839922a08aef00f3bfbb232/Cloud-Based-Data-Mining-Model-for-Asthma-Diagnosis.pdf
Cloud based data mining model for asthma diagnosis,"A Hans, S Kaur, N Singh",2016,NA,https://www.theseus.fi/bitstream/handle/10024/32878/print_new2.pdf?sequence=1
Användarnas medvetenhet om sin information på Facebook.,P Vuorela,2011,NA,https://homepages.laas.fr/mkilliji/APVP2011/Site/Programme_files/Article_8.pdf
"Privacy Guarantees, Applications, Next Steps",DPP Graph-mining,NA,1,http://soihub.org/docs/posters/CSOI-Christine-Task.pdf
A Data Mining Approach to the Diabetes Diagnosis by Classification in Fuzzy Decision Tree Induction,K Kalaivani,2013,1,http://www.conference.bonfring.org/papers/psna_sdip2013/sdip252.pdf
Searching Techniques on Big Data by Using Data Mining,VS Kumar,2015,22,https://www.academia.edu/download/42140000/AN_UPDATED_LOOK_AT_SOCIAL_NETWORK_EXTRACTION_SYSTEM_A_PERSONAL_DATA_ANALYSIS_APPROACH.pdf
Ethical Issues in Social Media Data Mining,NA,NA,17,https://wairco.org/IJCCIT/C2217PaperC020.pdf
M. Soiraya S. Thanalerdmongkol,C Chantrapornchai,2012,2,http://www2.stat-athens.aueb.gr/~jpan/Watts-2013.pdf
Data Mining Online Social Networks in a Professional Context Analyzing Data,NA,NA,1,https://core.ac.uk/download/pdf/234645024.pdf
Defacing Facebook: A Web 2.0 Case Study,A Felt,2007,2,http://asbbs.org/files/ASBBS2014/PDF/S/Sharifrazi-McCabe(P739-745)%20.pdf
"Patterns Of Internet Security In Nigeria: An Analysis of Data Mining, Fraud Detection and Mobile Telecommunications in Unsupervised Neural Networks",O Tope,2012,4,https://www.scss.tcd.ie/publications/theses/diss/2013/TCD-SCSS-DISSERTATION-2013-080.pdf
How reliable is Facebook's advertising data for use in social science research? Insights from a cross-national online survey,"A Grow, D Perrotta, E Del Fava…",2021,8,https://www.researchgate.net/profile/Andre-Grow/publication/350896656_How_Reliable_is_Facebook's_Advertising_Data_for_Use_in_Social_Science_Research_Insights_from_a_Cross-National_Online_Survey_How_Reliable_is_Facebook's_Advertising_Data_for_Use_in_Social_Science_Resear/links/60796357907dcf667ba1a824/How-Reliable-is-Facebooks-Advertising-Data-for-Use-in-Social-Science-Research-Insights-from-a-Cross-National-Online-Survey-How-Reliable-is-Facebooks-Advertising-Data-for-Use-in-Social-Science-Research.pdf
Does digital privacy really exist? When the consumer is the product,"BS Cruz, M Dias",2020,18,https://www.academia.edu/download/72808554/SJEAT_52_68-72.pdf
"Integrating Wikipedia, Facebook, and Other Personal Online Context into Collaborative E-Brainstorming","M Gartrell, A Beach…",2010,1,https://www.researchgate.net/profile/Richard-Han/publication/228952003_Integrating_Wikipedia_Facebook_and_Other_Personal_Online_Context_into_Collaborative_E-Brainstorming/links/0046353bc913eaac05000000/Integrating-Wikipedia-Facebook-and-Other-Personal-Online-Context-into-Collaborative-E-Brainstorming.pdf
The Generativity of Messaging Platforms: A Case Study on Facebook Messenger and Chatbots.,S Draxinger,2017,2,https://www.lse.ac.uk/management/assets/documents/ischannel/iSCHANNEL-Volume-12-Online.pdf#page=5
Big data,"S ROSENBUSH, M TOTTY",2013,2,https://www.nkd-group.com/ghdash/mba555/PDF/BigData/NYT_130807.pdf
"Sizing up big data, broadening beyond the internet",S Lohr,2013,26,http://users.cecs.anu.edu.au/~ssanner/Unpub/GoogleAug2010.pdf
Google Research Awards Proposal,"P Christen, S Sanner, S Guo, KN Tran",NA,14,https://www.researchgate.net/profile/Hanif_Deylami/publication/272659561_Adaboost_and_SVM_based_cybercrime_detection_and_prevention_model/links/5f5c9c30299bf1d43cfcb31e/Adaboost-and-SVM-based-cybercrime-detection-and-prevention-model.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D
The Biopolitical Network: Facebook as Foucauldian Apparatus,NA,NA,1,https://www.researchgate.net/profile/Nur-Mat-Hussin/publication/303328299_Hierarchy_of_Needs_in_Residential_Advertisement/links/573d0f3908ae9ace840fec5f/Hierarchy-of-Needs-in-Residential-Advertisement.pdf#page=53
The Effects of Facebook Advertisements on The Working Adult's Purchasing Behavior,"GD Sasitharan, H Hasan, J Bolong…",2016,2,https://federalnewsnetwork.com/wp-content/uploads/pdfs/MassiveDataTL.pdf
Massive Data Analytics and the Cloud,"M Farber, M Cameron, C Ellis, J Sullivan",2011,7,https://dataethics.github.io/proceedings/MiningDataRelatedtoChildrenEthicalChallenges.pdf
Mining Data Related to Children: Ethical Challenges,"DC Wimalasuriya, D Dou, D Wimalasuriya",2010,15,https://www.academia.edu/download/55661039/Becerra__Alurralde_-_2017_-_Big_data_y_Data_mining.pdf
Big data y Data mining. Un análisis crítico acerca de su significación para las ciencias psicosociales a partir de un estudio de caso,"G Becerra, JP López Alurralde",2017,7,http://klerisson.github.io/papers/2015_kdmile_felicio_et_al.pdf
Obama tried to give Zuckerberg a wake-up call over fake news on Facebook,"A Entous, E Dwoskin, C Timberg",2017,1,https://www.academia.edu/download/59123806/V5I1-128820190503-12748-nz25j1.pdf
ΜΕΛΕΤΗ ΓΙΑ ΖΗΤΗΜΑΤΑ ΙΔΙΩΤΙΚΟΤΗΤΑΣ ΣΕ ΠΕΡΙΒΑΛΛΟΝ FACEBOOK,NA,NA,3,https://www.researchgate.net/profile/Ubaida-Fatima/publication/335741140_Comparative_Study_of_Similarity_Measures_in_Link_Prediction_Using_Facebook_Data/links/5d78cf26299bf1cb80986842/Comparative-Study-of-Similarity-Measures-in-Link-Prediction-Using-Facebook-Data.pdf
Complicity,A Ring,2021,4,https://discovery.ucl.ac.uk/id/eprint/10122348/1/Annie%20Ring_Complicity_Uncertain%20Archives.pdf
The Playful Panopticon?,A Reading,2008,3,https://www.academia.edu/download/30854585/Preproceedings.pdf#page=240
… Interpretable and Statistically Significant Knowledge from Unlabeled Corpora of Social Text Messages: A Novel Methodology of Descriptive Text Mining.,"G Frisoni, G Moro, A Carbonaro",2020,17,https://pdfs.semanticscholar.org/a2d2/cce628242f7fc922fcfe167407d1f0645cd0.pdf
Getting insights in the social media data of console gamers by using different clustering algorithms,T Gesquiere,2021,32,https://libstore.ugent.be/fulltxt/RUG01/003/010/410/RUG01-003010410_2021_0001_AC.pdf
Facebook an Anti-Stereotyping Tool: A Case Study,S Wajid,2021,44,https://www.academia.edu/download/68283518/18.pdf
Preventing private information inference attacks on social networks,"R Heatherly, M Kantarcioglu, B Thuraisingham…",2009,4,https://www.researchgate.net/profile/Markus-Hofmann-4/publication/324587406_ICT_for_a_more_Sustainable_Planet/links/5b019d83aca2720ba097e05e/ICT-for-a-more-Sustainable-Planet.pdf#page=24
Implementing Internet-based ICT for Education: The ITM experience in the class room,"V Kumar, K Yadav",2012,NA,https://culturemachine.net/wp-content/uploads/2019/05/513-1161-1-PB.pdf
Death proof: on the biopolitics and noopolitics of memorializing dead Facebook users,T Karppi,2013,NA,https://www.academia.edu/download/37189744/FB_marketing.pdf
Understanding the pros and cons of big data analytics,"K Bottles, E Begoli, B Worley",2014,51,https://www.academia.edu/download/45078390/understanding-the-pros-and-cons-of-big-data-analytics.pdf
Different types of data mining techniques used in agriculture-a survey,"RS Kodeeshwari, KT Ilakkiya",2017,14,https://pdfs.semanticscholar.org/9317/37de952209f9e9b190df467b36b5fd7b4954.pdf
Distingushing fact and fiction: Data mining online identities,"R Feizy, I Wakeman, D Chalmers",2009,3,https://www.researchgate.net/profile/Ian-Wakeman/publication/228993182_Distingushing_Fact_and_Fiction_Data_Mining_online_Identities/links/00b7d536c6e62cb119000000/Distingushing-Fact-and-Fiction-Data-Mining-online-Identities.pdf
A Study of Medical Big data mining using Lambda Architecture,NA,NA,34,https://www.dfki.de/fileadmin/user_upload/DFKI/Medien/Ueber_uns/Fellows/Research_Fellows/Frederic_Stahl_Building_Adaptive_Data_Minining_Models_on_Streaming_Data_in_Real-Time.pdf
"Building Adaptive Data Mining Models on Streaming Data in Real-Time, an Outlook on Challenges, Approaches and Ongoing Research.",FT Stahl,2018,77,https://comp.utm.my/mariyam/files/2016/07/Salisu_Telekomnika.pdf
Big data platforms and techniques,"SM Borodo, SM Shamsuddin, S Hasan",2016,NA,https://www.ijetcse.com/admin/uploads/AN%20OVERLAY-BASED%20DATA%20MINING%20ARCHITECTURE%20TOLERANT%20TO%20PHYSICAL%20NETWORK%20DISRUPTIONS_1605620073.pdf
Information Extraction from Text Messages using Data Mining Techniques,NA,NA,NA,https://ciberdemocracia.victorsampedro.com/recursos/textosrelevantes/facebook.pdf
AN OVERLAY-BASED DATA MINING ARCHITECTURE TOLERANT TO PHYSICAL NETWORK DISRUPTIONS,"S Sumathi, C Senthilraja",NA,NA,https://www.mii.lt/files/doc/lt/doktorantura/ataskaitine_konferencija/t007_ma_2019_jurgelevicius.pdf
Data mining and the discourse on discrimination,S Barocas,2014,75,http://www.cs.yale.edu/homes/jf/Barocas-Taxonomy.pdf
User Behavior Profiling using Smartphones,O Mat,2011,1,https://pub.tik.ee.ethz.ch/students/2011-FS/MA-2011-06.pdf
"Big data analytics vs Data Mining analytics Vinti Parmar, Department of Computer Science, Indira Gandhi University, Meerpur, Rewari Haryana, INDIA",I Gupta,NA,1,https://www.researchgate.net/profile/Mustafa-Sabri-3/publication/354172889_Big_data_analytics_vs_Data_Mining_analytics/links/612969a7c69a4e48795ffa36/Big-data-analytics-vs-Data-Mining-analytics.pdf
Comparing K-Anonymity and ε-Differential Privacy Effectiveness For Social Media,"AM Calle, Y Cheng, Z Hao",NA,1,https://www.cse.scu.edu/~m1wang/projects/Mining_SocialMediaPrivacy_20w.pdf
Do You Like According to Your Lifestyle? A Quantitative Analysis of the Relation Between Individual Facebook Likes and the Users' Lifestyle,F Bodendorf,2017,3,https://www.academia.edu/download/82061877/978-3-319-60486-2.pdf#page=138
Analyzing Text Messages Using Data Mining Techniques,NA,NA,20,http://www.iab.org/wp-content/IAB-uploads/2011/03/sharon_paradesi.pdf
Saveface: Save george's faces in social networks where contexts collapse,"F Shih, S Paradesi",2010,NA,https://core.ac.uk/download/pdf/235265813.pdf
Time-Space Analysis of Facebook News Feeds,F Lo,2018,NA,https://www.academia.edu/download/56900872/ijatcse02732018.pdf
Sentiment analysis for helpful reviews prediction,"O Oueslati, AIS Khalil, H Ounelli",2018,NA,https://ai-forum.com/wp-content/uploads/How-Facebook-Built-a-Scalable-Data-Classification-System-With-Machine-Learning.pdf
Virtual mobilisation? Linking on-line and off-line political participation among Swedish Facebook users: Courtesy and irritation,"N Gustafsson, M Wahlström",2008,7,https://lucris.lub.lu.se/ws/files/6332604/1211323.pdf
Multi-Collaborative Filtering Trust Network Model for Web 2.0 Recommender,"W Chen, S Fong, Y Hang, SAR Macau…",2011,2,https://www.academia.edu/download/30772992/WS02.pdf#page=15
Big data quality analysis based on data mining,H Qin,NA,6,http://journal.it.cas.cz/62(2017)-LQ2/185%20Paper%20Hai%20Fei%20Qin.pdf
Resolving Student Entities in the Facebook Social Graph,"J Sproch, J Jong",NA,2,http://snap.stanford.edu/class/cs341-2012/reports/08-Sproch_CS341FinalPaper.pdf
Inference of Human Spatiotemporal Mobility in Greater Maputo by Mobile Phone Big Data Mining.,"M Batran, MG Mejia, Y Sekimoto, R Shibasaki",2018,45,http://ceur-ws.org/Vol-2129/paper3.pdf
A Modified Weight Balanced Algorithm for Influential Users Community Detection in Online social Network (OSNs),"B Singh, M Bala, M Kumar",NA,NA,https://www.academia.edu/download/46822952/6_A_Modified_Weight_Balanced_Algorithm_for_Influential_Users_Community_Detection_in_Online_social_Network_OSNs.pdf
Recognizing intent and trust of a facebook friend to facilitate autonomous conversation,B Galitsky,2015,NA,https://www.researchgate.net/profile/Boris-Galitsky/publication/287639715_Improving_trust_in_automation_of_social_promotion/links/57dae47008ae72d72ea366ae/Improving-trust-in-automation-of-social-promotion.pdf
The impact of small learning group composition on student engagement and success in a MOOC,"Z Zheng, T Vogelsang…",2015,NA,https://www.educationaldatamining.org/EDM2015/uploads/papers/paper_40.pdf
Reviewing execution performance of Association Rule Algorithm towards Data Mining,"S Kumar, A Shrivastava",NA,NA,https://www.academia.edu/download/36809970/IJCST-V3I1P31.pdf
Yelp DataSet–Calculating Popularity Zones CSE 190 Assignment 2,T Daniel,NA,14,https://cseweb.ucsd.edu/classes/sp15/cse190-c/reports/fa15/016.pdf
Development and Public Policy,"R Govinda, Z Waheed",2021,3,https://www.researchgate.net/profile/Zenab-Waheed/publication/355633878_Increasing_Trend_in_Accuracy_Score_for_Machine_Learning_Algorithms_Associate_Professor_Management_and_Production_Technologies_of_Northern_Aveiro_2/links/61780ca4eef53e51e1ee5d9c/Increasing-Trend-in-Accuracy-Score-for-Machine-Learning-Algorithms-Associate-Professor-Management-and-Production-Technologies-of-Northern-Aveiro-2.pdf
